event_id,event_name,event_date,manager_id,city_name
198,Volunteer Appreciation Dinner,2024-06-14,548922089,Mivtachim
199,Volunteer Safety and Crisis Management Training,2024-09-29,742140958,Nofim
200,Interactive Art Workshop for Volunteers,2025-02-27,199383226,Mivaseret Zion
201,Teamwork and Collaboration for Volunteers,2024-09-01,652100224,Keshet
202,Personal Branding for Volunteers,2025-01-18,293575183,Even Yehuda
203,Networking and Career Building for Volunteers,2025-01-23,833778676,Brochin
204,Creative Writing Workshop for Volunteers,2024-11-06,485883443,Kramim
205,Social Impact and Volunteerism Conference,2024-08-21,545501430,Ramat Hasharon
206,Networking Event for Nonprofit Volunteers,2024-08-28,657439553,Karnei Shomron
207,Building an Inclusive Volunteer Program,2024-12-17,468378560,Mitzpe Jericho
208,Networking and Career Building for Volunteers,2024-12-04,494224589,Ariel
209,Stress-Free Volunteering Tips and Tricks,2024-09-09,935031021,Neta
210,Volunteer Engagement Through Digital Platforms,2025-01-13,420993116,Or Akiva
211,Introduction to Project Management for Volunteers,2025-01-30,384537612,Naama
212,Empowering Women Volunteers Workshop,2024-07-29,999808268,Yavneh
213,Volunteer Leadership Retreat,2024-08-21,998108750,Sasa
214,Volunteer Talent Development Program,2024-12-20,507163187,Rosh HaAyin
215,Crisis Management for Volunteers,2024-08-16,651832513,Shtula
216,Community Service Leadership Program,2024-05-30,209510256,Beer Ganim
217,Public Speaking Skills for Volunteers,2025-02-18,256758081,Kfar Yona
218,Stress Relief and Resilience Training for Volunteers,2025-01-17,595016017,Ramla
219,Creative Writing Workshop for Volunteers,2025-01-04,589337320,Migron
220,Volunteer-Driven Innovation Session,2024-04-02,531266733,Neve Michael
221,Motivational Speech Event,2024-04-15,853063578,Ramat Yohanan
222,Advanced Communication Skills for Volunteers,2024-05-20,433566794,Beer Ganim
223,Fundraising Event Planning for Volunteers,2024-05-29,384537612,Tel Aviv
224,Volunteer Appreciation Dinner,2024-08-27,367996132,Karmiel
225,Advanced Communication Skills for Volunteers,2025-02-04,330066847,Tze'elim
226,Volunteer Skills Enhancement Workshop,2024-12-25,635217088,Bneu Dekalim
227,Leadership and Emotional Intelligence for Volunteers,2025-03-15,735351231,Meshuot Yitzhak
228,Social Impact and Volunteerism Conference,2025-02-15,256758081,Achuzam
229,Networking and Career Building for Volunteers,2024-05-02,153544210,Kanaf
230,Team Building Activity for Volunteers,2024-07-09,560837901,Erez
231,Team Building Activity for Volunteers,2024-07-25,999808268,Dimona
232,Leadership and Emotional Intelligence for Volunteers,2024-09-18,817363782,Neve Zohar
233,Fundraising for Nonprofits Workshop,2024-11-05,736861594,Yonatan
234,Digital Skills Training for Volunteers,2024-05-17,119879817,Ketzrin
235,Community Service Leadership Program,2025-03-25,293575183,Tirat Carmel
236,Stress Management Workshop for Volunteers,2024-04-05,633290531,Netivot
237,Volunteer-Driven Innovation Session,2024-10-10,899039963,Shoresh
238,Volunteer Diversity and Inclusion Training,2024-11-08,228431425,Kfar Shmaryahu
239,Volunteer Appreciation Day,2024-10-19,243893303,Maale Hever
240,Building an Inclusive Volunteer Program,2024-12-22,832134506,Lotan
241,Volunteer Empowerment Through Education,2025-03-03,293575183,Kiryat Gat
242,Advanced Communication Skills for Volunteers,2024-10-09,908419634,Michmesh
243,Fundraising for Nonprofits Workshop,2024-09-23,714493004,Maean Zvi
244,Health and Wellness for Volunteers,2024-05-25,500294195,Ali Zahav
245,Volunteer Innovations in Social Responsibility,2024-04-22,432775677,Neve Ativ
246,Public Speaking Masterclass for Volunteers,2024-08-18,513753906,Tirat Zvi
247,Volunteer-Driven Innovation Session,2024-06-20,196570610,Shila
248,Volunteer Photography Workshop,2024-07-15,105577673,Ein Habesor
249,Volunteer Fundraising Campaign Training,2025-03-26,147051908,Nator
250,Volunteer Feedback and Growth Session,2024-07-14,712247263,Kiryat Arba
251,Volunteer-Driven Innovation Session,2024-04-17,137196235,Nazareth
252,Volunteer Networking Brunch,2024-08-17,414518384,Yahel
253,Nonprofit Marketing for Volunteers,2025-03-16,196570610,Beit Guvrin
254,Health and Nutrition for Volunteers,2024-09-13,400946549,Har Bracha
255,Digital Storytelling for Volunteers,2024-05-05,457761908,Nir David
256,Public Relations Skills for Volunteers,2024-08-01,111782927,Talmon
257,Stress-Free Volunteering Tips and Tricks,2025-03-07,373850009,Castle
258,Digital Volunteerism and Social Impact,2025-01-17,185230457,Nir Yitzhak
259,Green Volunteerism and Sustainability,2025-01-14,564217076,Elezar
260,Interactive Art Workshop for Volunteers,2024-12-22,812837352,Zohar
261,Building a Volunteer-Friendly Organization,2024-08-28,661213951,Herzliya
262,Interactive Art Workshop for Volunteers,2024-03-31,353775631,Kfar Yehoshua
263,Volunteer Training for Mentors,2025-02-12,923609252,Migdal Oz
264,Volunteer Feedback and Growth Session,2024-06-12,224268418,Azrikam
265,Digital Volunteerism and Social Impact,2025-03-05,245544160,Maale HaChamisha
266,Volunteer Engagement and Retention Strategies,2024-09-07,710049900,Mishmoret
267,Volunteering for Social Change,2024-06-05,205953236,Tkoma
268,Creative Problem Solving for Volunteers,2024-08-03,454152910,Mishmar HaEmek
269,First Aid Training for Volunteers,2024-12-27,404382400,Kisufim
270,Time Management Skills for Volunteers,2025-02-19,880638443,Menara
271,Creative Workshop for Volunteers,2025-03-22,245544160,Neot Smadar
272,Stress Relief and Resilience Training for Volunteers,2024-04-25,532019222,Beit Hilkiah
273,Volunteer Fundraising Campaign Training,2025-02-20,595016017,Avivim
274,Team Collaboration Skills for Volunteers,2025-01-08,805561835,Neve Daniel
275,Empowering Women Volunteers Workshop,2025-01-23,860740200,Sde Eliyahu
276,Volunteer Photography Workshop,2024-11-11,436878005,As'el
277,Volunteer Leadership Forum,2024-05-07,866357017,Safet
278,Volunteer Safety and Crisis Management Training,2024-07-24,130662556,Palmahim
279,Volunteer Writing for Advocacy and Change,2024-07-30,807236155,Kfar Yona
280,Volunteer Management Skills Workshop,2024-07-18,976629885,Benimina
281,Conflict Resolution Training for Volunteers,2024-04-06,298554934,Sde Moshe
282,Mindset and Motivation for Volunteers,2024-12-25,572673913,Migdal Oz
283,Introduction to Project Management for Volunteers,2024-06-16,899039963,Shtula
284,Health and Wellness for Volunteers,2024-08-09,239749750,Avnat
285,Volunteer Training for Mentors,2025-02-10,712247263,Afula
286,Volunteer Engagement Through Digital Platforms,2025-02-08,321104557,Beerot Yitzhak
287,Resilience and Adaptability Training for Volunteers,2024-11-24,322167562,Barkan
288,Conflict Resolution Training for Volunteers,2025-03-18,993986630,Brochin
289,Nonprofit Strategy and Leadership for Volunteers,2024-05-26,643272008,Giv'at Washington
290,Health and Nutrition for Volunteers,2024-11-12,718772678,Ramla
291,Volunteer Management Skills Workshop,2024-04-29,226633180,Kanaf
292,Volunteer Talent Development Program,2024-11-24,146438347,Neve Tzuf
293,Personal Development Workshop,2024-10-13,182687627,Gani Tal
294,Volunteer Photography Workshop,2025-02-08,589337320,Maagan Michael
295,DIY Crafting Workshop for Volunteers,2024-06-18,662935223,Peduel
296,Time Management Skills for Volunteers,2024-08-04,357096083,Or Akiva
297,Volunteer Skills Enhancement Workshop,2024-08-28,450228682,Nirim
298,Volunteer Feedback and Growth Session,2024-10-23,457761908,Yokneam Ilit
299,Volunteer Management Skills Workshop,2025-02-09,898756120,Na'ala
300,Personal Development Workshop,2024-12-09,147051908,Hod Hasharon
301,Social Impact and Volunteerism Conference,2024-12-17,322167562,Neot Smadar
302,Volunteer Empowerment Workshop,2024-05-28,713572635,Hashmonaim
303,Volunteer Photography Workshop,2024-11-25,330066847,Peduel
304,Volunteer Feedback and Growth Session,2025-02-10,522212034,Sde Moshe
305,Leadership and Emotional Intelligence for Volunteers,2025-01-22,100546946,Patish
306,Leadership and Emotional Intelligence for Volunteers,2024-05-29,657439553,Hod Hasharon
307,Building a Volunteer-Friendly Organization,2025-03-15,807236155,Or Yehuda
308,Building a Volunteer-Friendly Organization,2024-06-23,778946429,Avni Eitan
309,Volunteer Appreciation Dinner,2024-04-04,570797294,Castle
310,Building an Inclusive Volunteer Program,2024-12-22,608057122,Hazor'im
311,Digital Storytelling for Volunteers,2024-08-24,685483861,Ein Yahav
312,Conflict Resolution Training for Volunteers,2024-06-12,408935693,Mivaseret Zion
313,Fundraising Event Planning for Volunteers,2024-07-05,899039963,Ofakim
314,Digital Storytelling for Volunteers,2025-03-04,298554934,Ein Harod
315,Creative Writing Workshop for Volunteers,2024-05-21,446761406,Neve Michael
316,Volunteer Career Coaching Session,2025-01-06,428742862,Tel Aviv
317,Nonprofit Event Planning for Volunteers,2024-07-12,903664721,Tzukim
318,Personal Development Workshop,2024-05-10,438834899,Nov
319,Nonprofit Marketing for Volunteers,2024-08-12,400946549,Lotan
320,Volunteer Safety and Crisis Management Training,2024-04-08,393013562,Rechsim
321,Mindset and Motivation for Volunteers,2024-10-23,394505352,Kiryat Haim
322,Stress-Free Volunteering Tips and Tricks,2025-01-09,438834899,Negba
323,Leadership Development for Young Volunteers,2024-07-08,946915975,Nazareth
324,Volunteer Career Development Session,2024-09-30,532019222,Akko
325,Time Management Skills for Volunteers,2025-02-08,719625058,Tirat Zvi
326,Networking Event for Nonprofit Volunteers,2025-02-17,275553165,Bnei Brak
327,Health and Nutrition for Volunteers,2024-11-18,776377775,Ashkelon
328,Volunteer Empowerment Through Education,2024-11-27,408935693,Dafna
329,Teamwork and Collaboration for Volunteers,2024-12-01,414518384,As'el
330,Nonprofit Event Planning for Volunteers,2024-07-29,545501430,Rosh Hanikra
331,Empowering Volunteers Through Knowledge Sharing,2024-12-13,367996132,Havat Yair
332,Advanced Communication Skills for Volunteers,2025-01-10,293575183,Karmiya
333,Team Building Activity for Volunteers,2024-08-15,833540190,Kfar Gaza
334,Networking and Career Building for Volunteers,2024-05-19,589706327,Kerem Shalom
335,Volunteer Appreciation Dinner,2024-05-09,807236155,Ateret
336,Volunteer Mindfulness Retreat,2024-04-25,196570610,Eliav
337,Leadership and Emotional Intelligence for Volunteers,2024-08-15,486634621,Hod Hasharon
338,Volunteer Yoga and Meditation,2025-02-24,955834819,Ramat Yohanan
339,Volunteer Talent Development Program,2024-08-05,713588559,Tel Yosef
340,Networking Event for Nonprofit Volunteers,2024-12-07,621546011,Mishmar Hashiva
341,Nonprofit Operations and Leadership Workshop,2025-02-07,748945881,Neve Zohar
342,Volunteer Innovations in Social Responsibility,2025-02-08,633290531,Sholomi
343,Volunteer Storytelling for Social Change,2024-06-03,776377775,Avni Chefetz
344,Volunteer Project Management Training,2025-01-15,394505352,Haifa
345,Volunteer Engagement and Retention Strategies,2025-03-09,580199810,Brochin
346,Social Impact and Volunteerism Conference,2024-08-09,643272008,Tirat Carmel
347,Nonprofit Strategy and Leadership for Volunteers,2024-05-05,579372758,Sde David
348,Volunteer Networking Mixer,2025-01-09,421301681,Erez
349,Stress Management Workshop for Volunteers,2024-08-21,116891822,Kerem Shalom
350,Public Speaking for Advocacy and Nonprofits,2024-09-14,427099149,Rosh Hanikra
351,Creative Writing Workshop for Volunteers,2024-06-12,792680574,Tze'elim
352,Volunteer Yoga and Meditation,2024-09-08,707575471,Kiryat Ekron
353,Public Speaking Skills for Volunteers,2025-02-22,662935223,Kiryat Yam
354,Volunteer-Driven Innovation Session,2025-01-19,579372758,Beit Kama
355,Mindset and Motivation for Volunteers,2025-01-11,770027665,Bat Yam
356,Volunteer Mentorship Program,2024-06-02,468378560,Kiryat Yearim
357,Fundraising Event Planning for Volunteers,2024-05-29,135476374,Ayalot
358,Volunteer Safety and Crisis Management Training,2024-08-07,450228682,Yonatan
359,Building Emotional Intelligence for Volunteers,2025-02-25,831020897,Rosh HaAyin
360,Stress Relief and Resilience Training for Volunteers,2024-07-04,736861594,Sde Yaakov
361,Introduction to Project Management for Volunteers,2025-03-10,758266582,Peduel
362,Volunteer Retreat and Relaxation Day,2024-06-11,765389525,Sde Yoav
363,Volunteer Career Development Session,2024-08-11,988845122,Ohad
364,Volunteer Career Coaching Session,2024-06-02,883221237,Beit Haggai
365,Mindset and Motivation for Volunteers,2024-06-26,534962289,Havat Yair
366,Nonprofit Event Planning for Volunteers,2024-06-02,870479229,Migdal HaEmek
367,Time Management Skills for Volunteers,2025-01-04,765389525,Naria
368,Volunteer Fundraising Campaign Training,2024-04-04,955900016,Maagan Michael
369,Social Media Skills for Volunteers,2024-11-30,770027665,Rosh HaAyin
370,Volunteer Talent Show,2024-11-29,113193560,Kiryat Ono
371,Volunteer Diversity and Inclusion Training,2024-08-20,486634621,Safet
372,Resilience and Adaptability Training for Volunteers,2025-01-17,515694752,Safet
373,Creative Problem Solving for Volunteers,2024-10-05,421883994,Noam
374,Digital Skills Training for Volunteers,2024-06-15,484791738,Kanaf
375,Team Building Adventure for Volunteers,2025-02-04,534962289,Kanaf
376,Leadership Training for Volunteers,2025-01-09,880638443,Yehud
377,Volunteer Feedback and Growth Session,2024-07-31,765389525,Beit El
378,Time Management Skills for Volunteers,2024-05-20,791492673,Ibim
379,Stress-Free Volunteering Tips and Tricks,2025-01-06,567128387,Beit She'an
380,Volunteer Yoga and Meditation,2024-12-04,422858186,Rehovot
381,Transforming Communities Through Volunteering,2024-10-23,602476138,Beeri
382,Volunteering for Social Change,2025-03-10,330066847,Tkoma
383,Volunteer Leadership Retreat,2024-08-12,835076317,Yated
384,Volunteer Training for Mentors,2024-11-22,373850009,Bnei Ayish
385,Empowering Women Volunteers Workshop,2024-05-07,249221152,Kfar Vradim
386,Volunteer Leadership Retreat,2024-08-12,234831255,Kfar Ruth
387,Advanced Communication Skills for Volunteers,2024-10-12,276184852,Avni Chefetz
388,Volunteer Mentorship Program,2025-03-15,956428885,Kiryat Ekron
389,Volunteer Writing for Advocacy and Change,2024-04-09,538370298,Harish
390,Introduction to Project Management for Volunteers,2024-04-26,424498138,Beerot Yitzhak
